"","Nazwa_Oferty","ID_Oferta","Marka","Model","Cena_Brutto","Rodzaj_Napedu","Typ_Skrzynia","Pojemnosc_Silnika","Typ_Paliwa","Zuzycie_Paliwa_na_100km","Emisja_CO2","Klasa_Emisji","Przebieg_Km","Pierwsza_Rejestracja","Poprzedni_wlasciciel","Kraj","Typ_Sprzedawcy","Moc_Silnika","Liczba_Zdjec","Wyposazenie","Liczba_elementow_wyposazenia"
"2795","BMW X1 20d 140 kW","48305129","BMW","X1",160299,"4x4","Automat","1995","Diesel","4.8","126","Euro 6","37817","12/2018","1","Niemcy","Dealer","140",7,"ABS,ESP,Alarm,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Wyjœcie AUX,USB,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Demontowany hak holowniczy,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",28
"2796","Mazda CX-5 194 Automatic 143 kW","48276186","Mazda","CX-5",160749,"4x2","Automat","2488","Benzyna","7.1","161","Brak klasy emisji","10000","8/2021","Samochód demonstracyjny","Niemcy","Dealer","143",13,"ABS,ESP,System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,£opatki przy kierownicy",33
"2797","Volkswagen T-Roc 1.5 TSI 110 kW","48296115","Volkswagen","T-Roc",162899,"4x2","Automat","1498","Benzyna","5.3","126","Euro 6d-TEMP","9920","5/2021","1","Niemcy","Dealer","110",18,"ABS,ESP,System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,Demontowany hak holowniczy",34
"2798","Citroen Jumper 33 L2H2 S&S 103 kW","48274347","Citroen","Jumper",162949,"4x2","Manual","2179","Diesel","6.3","166","Euro 6d","6200","3/2021","1","Niemcy","Dealer","103",15,"ABS,ESP,Wspomaganie kierownicy,Immobiliser,Kamera parkowania,Ekran dotykowy,Radio samochodowe,Pod³okietnik z przodu,Klimatyzacja manualna,Ogrzewanie postojowe,Atermiczna szyba przednia,Zamek centralny,Tempomat",13
"2799","Honda CR-V 4WD CVT Lifestyle 142 kW","48283476","Honda","CR-V",160299,"4x4","Automat","1498","Benzyna","7","201","Euro 6","47302","11/2018","U¿ywany","Holandia","Dealer","142",48,"ABS,Wspomaganie kierownicy,Czujnik ciœnienia w oponach,Kamera parkowania,Komputer pok³adowy,Radio samochodowe,Tempomat,Felgi aluminiowe,Podgrzewana przednia szyba,Zamek centralny,Zamek centralny na pilota,Przyciemniane szyby,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach",16
"2800","Volkswagen T6 Transporter long 81 kW","48258676","Volkswagen","T6 Transporter",163099,"4x2","Manual","1968","Diesel","6","159","Euro 6d","650","4/2021","U¿ywany","Niemcy","Dealer","81",17,"ABS,ESP,Wspomaganie kierownicy,Immobiliser,Radio samochodowe,Zamek centralny",6
"2801","Volkswagen Touran 2.0 TDI SCR DSG Comfortline 110 kW","48314441","Volkswagen","Touran",163149,"4x2","Automat","1968","Diesel","4.6","121","Euro 6d","23504","4/2021","U¿ywany","Niemcy","Dealer","110",13,"ABS,ESP,EDS,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzowana skrytka,Regulowana kierownica,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek",33
"2802","Ford Transit 350 L3H3 LKW HA Trend 96 kW","48276193","Ford","Transit",163149,"4x2","Manual","1996","Diesel","6.8","179","Euro 6d-TEMP","40002","11/2020","1","Niemcy","Dealer","96",11,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,USB,Komputer pok³adowy,Radio samochodowe,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Zamek centralny na pilota,System doœwietlania zakrêtów,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja manualna,Tempomat",27
"2803","Seat Leon SP 1.4 TSI DSG FR 110 kW","48294044","Seat","Leon",163199,"4x2","Automat","1395","Hybryda","1.4","32","Euro 6d","15000","6/2021","Samochód demonstracyjny","Niemcy","Dealer","110",20,"ABS,ESP,System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Zap³on bezkluczykowy,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Kontrola g³osowa,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Sportowe przednie siedzenia,Dzielone siedzenia tylne ,£opatki przy kierownicy,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek",40
"2804","BMW 218 Gran Tourer d xDrive Sport Line 110 kW","48288067","BMW","218 Gran Tourer",163249,"4x4","Automat","1995","Diesel","4.9","123","Brak klasy emisji","18330","10/2020","1","Niemcy","Dealer","110",6,"ABS,ESP,Alarm,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,USB,Odtwarzacz DVD,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",29
"2805","Volkswagen T6 Transporter long EcoProfi 81 kW","48277493","Volkswagen","T6 Transporter",163249,"4x2","Manual","1968","Diesel","6.6","174","Euro 6d-TEMP","40000","11/2020","1","Niemcy","Dealer","81",7,"ABS,ESP,Asystent hamowania (EBA, BAS),Wspomaganie kierownicy,Immobiliser,Radio samochodowe,Klimatyzacja manualna,Atermiczna szyba przednia,Zamek centralny,Zamek centralny na pilota,Sta³y hak holowniczy",12
"2806","Seat Alhambra 2.0 TDI Start & Stop 4Drive DSG FR-Line 135 kW","48263926","Seat","Alhambra",163249,"4x4","Automat","1968","Diesel","5.9","154","Euro 6","98240","12/2017","1","Niemcy","Dealer","135",14,"ABS,ESP,Alarm,System start-stop,Wspomaganie kierownicy,Immobiliser,Kamera parkowania,Bluetooth,Radio,Wyjœcie AUX,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Œwiat³a do jazdy dziennej,Zamek centralny,System doœwietlania zakrêtów,Sprzêg przyczepy,Reflektory biksenonowe,Kierownica wielofunkcyjna,Sportowe przednie siedzenia,Klimatyzacja automatyczna,Ogrzewanie postojowe,Tempomat",28
"2807","Jeep Cherokee Limited 147 kW","48298317","Jeep","Cherokee",157949,"4x4","Automat","2184","Diesel","5","139","Brak klasy emisji","26000","9/2019","U¿ywany","Francja","Dealer","147",10,"ABS,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Zamek centralny,ISOFIX na tylnych siedzeniach,Tempomat",8
"2808","Opel Zafira L 1.5 D Selection 88 kW","48264439","Opel","Zafira",163449,"4x2","Manual","1499","Diesel","4.8","127","Euro 6d-TEMP","20329","9/2019","1","Niemcy","Dealer","88",6,"ABS,ESP,System start-stop,Wspomaganie kierownicy,Immobiliser,Czujnik ciœnienia w oponach,Zamek centralny,Pod³okietnik z przodu,Dzielone siedzenia tylne ,Klimatyzacja manualna,Tempomat",11
"2809","BMW 220 Active Tourer i 141 kW","48274107","BMW","220 Active Tourer",163449,"4x2","Automat","1998","Benzyna","5.5","125","Euro 6d-TEMP","27399","5/2021","U¿ywany","Niemcy","Dealer","141",7,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Demontowany hak holowniczy,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",34
"2810","Volkswagen Touran 110 kW","48279645","Volkswagen","Touran",162799,"4x2","Automat","1498","Benzyna","5.5","126","Brak klasy emisji","14483","5/2021","U¿ywany","Austria","Dealer","110",20,"ABS,ESP,Immobiliser,Zamek centralny,Klimatyzacja manualna,Tempomat",6
"2811","Mercedes-Benz B 200 d Progressive 110 kW","48283506","Mercedes-Benz","B 200",164899,"4x2","Automat","1950","Diesel","4.2","112","Euro 6","21798","7/2020","1","Niemcy","Dealer","110",5,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Tempomat,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Klimatyzacja automatyczna",31
"2812","Ford Transit 460 L3 HA S&S 18-seater 92 kW","48270584","Ford","Transit",159549,"4x2","Manual","2198","Diesel","7","196","Euro 6","57000","3/2017","1","Niemcy","Dealer","92",20,"ABS,ESP,Wspomaganie kierownicy,Immobiliser,Radio samochodowe,Zamek centralny,Zamek centralny na pilota,Klimatyzacja manualna,Tempomat",9
