"","Nazwa_Oferty","ID_Oferta","Marka","Model","Cena_Brutto","Rodzaj_Napedu","Typ_Skrzynia","Pojemnosc_Silnika","Typ_Paliwa","Zuzycie_Paliwa_na_100km","Emisja_CO2","Klasa_Emisji","Przebieg_Km","Pierwsza_Rejestracja","Poprzedni_wlasciciel","Kraj","Typ_Sprzedawcy","Moc_Silnika","Liczba_Zdjec","Wyposazenie","Liczba_elementow_wyposazenia"
"179","Hyundai IONIQ Trend 104 kW","48283846","Hyundai","IONIQ",124099,"4x2","Automat","1580","CNG","1.1","26","Euro 6d-TEMP","1500","5/2021","Samochód demonstracyjny","Niemcy","Dealer","104",15,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Radio,USB,Komputer pok³adowy,Radio samochodowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny",23
"180","Mercedes-Benz C 220 d T Avantgarde 143 kW","48296405","Mercedes-Benz","C 220",141299,"4x2","Automat","1950","Diesel","4.7","123","Euro 6d-TEMP","99920","8/2018","1","Niemcy","Dealer","143",15,"ABS,ESP,System œledzenia GPS,Funkcja Auto Hold,System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Nawigacja,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,£opatki przy kierownicy,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek",31
"181","Mercedes-Benz C 180 115 kW","48265538","Mercedes-Benz","C 180",148349,"4x2","Automat","1595","Benzyna","6.4","145","Euro 6d-TEMP","18477","4/2019","2","Niemcy","Dealer","115",30,"ABS,ESP,Asystent stabilnoœci (TSA),Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Nawigacja,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Sprzêg przyczepy,£opatki przy kierownicy,Tempomat",34
"182","Audi Q2 30 85 kW","48291186","Audi","Q2",103199,"4x2","Manual","999","Benzyna","5.4","122","Euro 6","16800","12/2018","1","Niemcy","Dealer","85",20,"ABS,ESP,EDS,Funkcja Auto Hold,System start-stop,Wspomaganie kierownicy,Immobiliser,Czujnik ciœnienia w oponach,Wyjœcie AUX,USB,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja manualna",21
"183","Kia cee'd / Ceed 1.6 Vision 100 kW","48292301","Kia","cee'd / Ceed",103199,"4x2","Manual","1598","Diesel","4","106","Euro 6d-TEMP","21610","6/2021","U¿ywany","Niemcy","Dealer","100",15,"ABS,ESP,Funkcja Auto Hold,System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Podgrzewane lusterka,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,System doœwietlania zakrêtów,Tempomat",28
"184","Mercedes-Benz A 180 BlueEFFICIENCY Edition 90 kW","48289115","Mercedes-Benz","A 180",103899,"4x2","Manual","1595","Benzyna","5.6","131","Euro 6","62353","8/2017","1","Niemcy","Dealer","90",10,"ABS,ESP,System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Tempomat",27
"185","Mercedes-Benz C 180 115 kW","48277015","Mercedes-Benz","C 180",133699,"4x2","Automat","1595","Benzyna","6.5","149","Euro 6d-TEMP","45509","11/2018","2","Niemcy","Dealer","115",7,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Zap³on bezkluczykowy,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Kontrola g³osowa,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,£opatki przy kierownicy,Tempomat,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek",35
"186","Ford Mondeo Wagon 2.0 TDCi BiTurbo 155 kW","48262936","Ford","Mondeo",133949,"4x2","Automat","1997","Diesel","5.2","134","Euro 6c","48650","6/2018","1","Niemcy","Komis","155",28,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Kontrola g³osowa,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,Regulowana kierownica,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Podgrzewana przednia szyba,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,£opatki przy kierownicy,Tempomat",42
"187","Audi A3 40 TFSI Quattro 140 kW","48292166","Audi","A3",177949,"4x4","Automat","1984","Benzyna","6.5","148","Euro 6","32219","8/2019","2","Niemcy","Dealer","140",23,"ABS,ESP,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,Kontrola g³osowa,Nawigacja,Komputer pok³adowy,Radio samochodowe,£opatki przy kierownicy,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia",25
"188","Skoda Octavia 2.0 TSI DSG RS 169 kW","48295563","Skoda","Octavia",138899,"4x2","Automat","1984","Benzyna","6.6","149","Euro 6","32042","12/2017","1","Niemcy","Dealer","169",29,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Zap³on bezkluczykowy,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Kontrola g³osowa,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Dach panoramiczny,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny,Czujnik wycieraczek,System doœwietlania zakrêtów,Oœwietlenie ambientowe,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,Ogrzewanie postojowe,£opatki przy kierownicy",42
"189","Opel Astra 1.2 Turbo Sports Tourer Elegance 107 kW","48267923","Opel","Astra",108599,"4x2","Manual","1199","Benzyna","4.5","102","Euro 6d","8266","11/2020","1","Niemcy","Dealer","107",19,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Regulowana kierownica,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny,Zamek centralny na pilota,Czujnik wycieraczek,Tempomat",33
"190","Citroen C5 Aircross 130 S&S 96 kW","48290184","Citroen","C5 Aircross",131749,"4x2","Manual","1499","Diesel","4","130","Euro 6","13365","4/2021","U¿ywany","Francja","Dealer","96",31,"ABS,ESP,Asystent hamowania (EBA, BAS),Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania,USB,Odtwarzacz CD,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny,Przyciemniane szyby,Skórzana kierownica,Kierownica wielofunkcyjna,Sk³adane siedzenia tylne,Dzielone siedzenia tylne ,Regulowana kierownica,Tempomat",20
"191","BMW X3 140 kW","48292384","BMW","X3",177699,"4x4","Automat","1995","Benzyna","7","154","Euro 6d-TEMP","51302","12/2019","1","Niemcy","Dealer","140",5,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Dzielone siedzenia tylne ,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Atermiczna szyba przednia,Zamek centralny,Czujnik wycieraczek,Tempomat",31
"192","Mercedes-Benz A 250 165 kW","48260576","Mercedes-Benz","A 250",196699,"4x2","Automat","1991","Benzyna","5.8","155","Euro 6d-TEMP","13114","8/2020","1","Niemcy","Dealer","165",17,"ABS,ESP,System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Zap³on bezkluczykowy,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Kontrola g³osowa,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Dach panoramiczny,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,£opatki przy kierownicy,Tempomat",39
"193","Skoda Scala 1.0 TSI DSG Style 85 kW","48279902","Skoda","Scala",111799,"4x2","Automat","999","Benzyna","4.9","112","Euro 6d-TEMP","6575","9/2020","U¿ywany","Niemcy","Dealer","85",30,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat,Felgi aluminiowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Czujnik wycieraczek,Przyciemniane szyby",33
"194","BMW 318 d Advantage 110 kW","48282182","BMW","318",153099,"4x2","Manual","1995","Diesel","4.2","110","Euro 6","35917","8/2020","1","Niemcy","Dealer","110",8,"ABS,ESP,System ochrony pieszych,Alarm,System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Radio,USB,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Zamek centralny,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",21
"195","Volvo XC40 D4 AWD R-Design 140 kW","48271358","Volvo","XC40",157499,"4x4","Automat","1969","Diesel","5","131","Euro 6","65000","6/2018","U¿ywany","Francja","Dealer","140",22,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),Asystent pasa jazdy,Czujnik ciœnienia w oponach,Ekran dotykowy,Komputer pok³adowy,Œwiat³a automatyczne,Podgrzewane lusterka,Zamek centralny,Czujnik wycieraczek,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,Klimatyzacja automatyczna,Tempomat",18
"196","BMW X3 xDrive30d Sport-Automatic xLine 190 kW","48296340","BMW","X3",119149,"4x4","Automat","2993","Diesel","5.9","156","Euro 6","158973","10/2015","08/2022","Niemcy","Komis","190",15,"ABS,ESP,Funkcja Auto Hold,System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Czujnik wycieraczek,System doœwietlania zakrêtów,Sprzêg przyczepy,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,Tempomat",31
"197","Fiat 500X 95 kW","48294115","Fiat","500X",124649,"4x2","Manual","1598","Diesel","4","134","Euro 6","5800","3/2021","U¿ywany","Francja","Dealer","95",29,"ABS,ESP,Asystent hamowania (EBA, BAS),Wspomaganie kierownicy,Czujnik ciœnienia w oponach,Felgi aluminiowe,Zamek centralny,Przyciemniane szyby,Regulowana kierownica,Tempomat",11
"198","Seat Leon 5D 1.4 TSI DSG FR 110 kW","48277903","Seat","Leon",153399,"4x2","Automat","1395","Hybryda","1.4","32","Euro 6d-TEMP","11602","6/2021","U¿ywany","Niemcy","Dealer","110",6,"ABS,ESP,Alarm,Asystent hamowania (EBA, BAS),System start-stop,Zap³on bezkluczykowy,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Kontrola g³osowa,Nawigacja,Komputer pok³adowy,Radio samochodowe,Dach panoramiczny,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne",33
"199","Audi A5 2.0 TDI Quattro sport 140 kW","48266971","Audi","A5",173299,"4x4","Manual","1968","Diesel","4.8","125","Euro 6","48208","12/2018","1","Niemcy","Komis","140",30,"ABS,ESP,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Tempomat",27
"200","Mercedes-Benz GLC 250 4Matic Coupe 155 kW","48306972","Mercedes-Benz","GLC 250",195899,"4x4","Automat","1991","Benzyna","7.5","179","Euro 6d-TEMP","19300","3/2019","2","Niemcy","Dealer","155",20,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Atermiczna szyba przednia,Zamek centralny,Czujnik wycieraczek,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,Tempomat",30
"201","Ford Puma 1.0 Titanium 92 kW","48278191","Ford","Puma",115099,"4x2","Manual","999","Benzyna","4.3","130","Euro 6d","11919","5/2021","1","Niemcy","Dealer","92",11,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Oœwietlenie ambientowe,Pod³okietnik z przodu,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek,System doœwietlania zakrêtów,Tempomat",31
"202","Ford Puma 1.0 Titanium 92 kW","48279033","Ford","Puma",111849,"4x2","Manual","999","Benzyna","3.9","101","Euro 6d-TEMP","24400","6/2021","1","Niemcy","Dealer","92",7,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek,Tempomat",29
"203","Mercedes-Benz C 180 T 115 kW","48279781","Mercedes-Benz","C 180",182099,"4x2","Automat","1497","Benzyna","6.8","175","Euro 6d-TEMP","13214","7/2021","1","Niemcy","Dealer","115",6,"ABS,ESP,Asystent stabilnoœci (TSA),Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Nawigacja,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Sprzêg przyczepy,£opatki przy kierownicy,Tempomat",35
"204","Volkswagen Polo 2.0 TSI OPF DSG GTI 147 kW","48261904","Volkswagen","Polo",138249,"4x2","Automat","1984","Benzyna","5.8","138","Euro 6d-TEMP","6825","4/2020","1","Niemcy","Dealer","147",5,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,Wyjœcie AUX,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek",31
"205","Audi A4 Avant 2.0 TDI S tronic 110 kW","48264960","Audi","A4",124199,"4x2","Automat","1968","Diesel","4.2","109","Euro 6","76000","9/2017","2","Niemcy","Komis","110",19,"ABS,ESP,EDS,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Sprzêg przyczepy,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna",30
"206","Audi A4 Avant 35 TDI S 120 kW","48263817","Audi","A4",155999,"4x2","Automat","1968","Diesel","3.9","141","Euro 6d-TEMP","23905","5/2020","1","Niemcy","Dealer","120",6,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Czujniki parkowania przód/ty³,Radio,USB,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Klimatyzacja automatyczna,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,System doœwietlania zakrêtów,Tempomat",30
"207","Seat Leon 5D 1.5 TSI 110 kW","48289941","Seat","Leon",123649,"4x2","Manual","1498","Benzyna","4.9","113","Euro 6d-TEMP","19530","4/2021","1","Niemcy","Dealer","110",19,"ABS,ESP,Alarm,System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Kontrola g³osowa,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sportowe przednie siedzenia,Regulowana kierownica,Ogrzewanie postojowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Atermiczna szyba przednia,Czujnik wycieraczek",34
"208","BMW 520 d Touring 140 kW","48282973","BMW","520",142549,"4x2","Automat","1995","Diesel","4.3","114","Euro 6d-TEMP","49839","12/2018","1","Niemcy","Komis","140",30,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Tempomat,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny,Czujnik wycieraczek,Demontowany hak holowniczy,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Regulowana kierownica",33
"209","Volkswagen T-Roc 1.5 TSI ACT OPF Style 110 kW","48286122","Volkswagen","T-Roc",115099,"4x2","Manual","1498","Benzyna","5.3","121","Euro 6d-TEMP","17546","7/2019","2","Niemcy","Komis","110",30,"ABS,ESP,EDS,System ochrony pieszych,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Wyjœcie AUX,USB,Ekran dotykowy,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,ISOFIX na tylnych siedzeniach,Klimatyzacja manualna,Felgi aluminiowe,Zamek centralny",23
"210","BMW 520 d 140 kW","48292148","BMW","520",152799,"4x2","Automat","1995","Diesel","4.5","117","Euro 6d-TEMP","31758","1/2019","1","Niemcy","Dealer","140",15,"ABS,ESP,Alarm,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Radio,USB,Komputer pok³adowy,Odtwarzacz CD,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Regulowana kierownica,Felgi aluminiowe,Œwiat³a do jazdy dziennej,Podgrzewane lusterka,Zamek centralny,Zamek centralny na pilota",30
